        Column1   Column2      Column3     Column4   Column5    Column6    Column7    Column8    Column9  Column10   Column11   Column12   Column13   Column14  Column15  Column16  Column17   Column18  Column19  Column20
Row1  0.8111425 1.2363386 0.2674618290 1.416523011 0.1352509 1.04453379 0.41181134 0.70318169 0.72706903 0.1309000 0.79927167 0.53427365 0.08905748 0.62348384 1.0325454 0.7030729 0.8248672 0.18135528 0.2594991 1.9663031
Row2  0.1091368 1.7006487 0.5389008445 0.002898567 0.1738423 1.35258967 0.07353287 0.38980251 1.50795651 0.6285805 1.06583519 0.44311352 0.78896502 1.56822123 1.3562425 0.1165495 0.4080329 0.25880673 1.1862471 0.4549288
Row3  1.0506306 1.2956334 0.5321971776 0.440731871 1.0881780 0.31123876 0.03807678 1.67868147 0.22811653 0.4679031 1.26557716 0.33711662 0.02214755 0.02258754 0.9350935 1.0436180 0.8959957 1.08848692 1.0969291 1.0545796
Row4  0.6745325 1.1536407 0.4101935834 0.703933323 1.4024669 1.22351142 0.86363822 0.64757623 0.26070816 0.9824068 1.27056723 0.66141741 0.46201038 0.98206940 0.4604782 0.1409239 1.8192507 0.07828949 0.6461373 1.8341757
Row5  0.4068825 0.4564581 0.0006253257 0.609061473 0.1421396 0.40370111 1.27233261 0.72703164 0.47345971 1.1497844 0.53897240 1.30129399 0.18284516 1.11363762 0.1300192 1.0937155 0.4832347 0.22255838 0.7196469 0.6585598
Row6  0.8933627 1.1846784 0.2044275499 0.144967433 0.8540432 1.10024599 1.25838516 0.52856142 2.47749428 1.4640581 0.80898953 0.93900658 0.05019792 1.18816188 1.2328021 1.7486087 2.9337981 1.86425570 1.8556603 0.7456946
Row7  0.1283317 0.1091073 0.5611946519 0.907908204 0.4493128 0.74703242 0.97109749 2.64986038 0.22429153 2.1239151 0.07731722 1.63388756 0.22064810 1.45602194 1.3892962 0.5342343 0.5940787 0.68789361 1.7855673 0.5517377
Row8  0.6118196 0.3821332 0.3158114758 1.011473006 0.4184716 0.18833489 2.77896805 0.07810496 1.21815306 1.3795861 0.70389857 0.40884579 0.33298063 2.24673424 0.4630110 0.8205155 1.0113915 1.49556984 1.7557780 1.5775215
Row9  0.4090913 1.0554338 0.2947379720 1.243401491 0.3198469 0.23127632 0.48715062 1.81921516 0.78636372 0.9545605 0.79344605 1.27297512 0.39305421 0.65937679 1.6374502 0.8115823 0.6837449 0.39164979 0.6729115 0.5055665
Row10 0.8833105 0.1524340 1.0461219323 0.220064643 0.8890601 0.76093372 0.63491938 0.51174807 0.27863683 0.9358737 1.23092193 0.23780028 0.48882631 1.96610107 1.9105462 1.6814623 1.9878662 1.38421602 0.5340420 1.3541211
Row11 0.4681396 0.1424086 0.7398203855 0.619884032 0.2196462 2.92904668 1.31316739 0.32161855 0.87374978 0.7690306 0.26170539 0.28739781 0.26538424 1.25362253 1.4750990 1.5010735 0.7548609 0.75683388 0.2404903 0.1742233
Row12 0.8661899 0.2789011 1.1793751691 0.144864252 0.5114070 2.23527497 1.57045502 1.33625117 0.68766245 0.2919315 0.31498981 1.01622415 0.10625301 0.49360144 0.8359273 0.7426871 0.5469687 0.66213030 2.5136400 0.8363236
Row13 0.1881876 1.0612545 2.7895676440 0.043265898 0.3694851 0.06407252 0.12910278 0.44929213 0.67768429 0.8865565 1.08263831 1.87230067 1.35929156 0.32237918 0.4700716 0.7004563 1.0432857 1.92155327 1.1929385 0.2250038
Row14 0.5535487 1.3230623 0.7383621708 0.697331661 1.0083104 0.07012633 0.77757076 0.19931420 0.07040728 0.6194659 1.52137148 0.47499188 0.74881172 1.35413898 1.2190704 0.2052415 0.3422759 0.15933162 1.1642832 1.6869150
Row15 1.0756655 1.6210271 0.2655793403 2.141457512 0.3269415 0.63466689 1.84874496 1.21863141 0.54053321 0.2644044 0.04273089 1.42936841 0.18730279 1.25201591 0.3896954 1.3934745 1.4863031 0.07858569 0.9936138 1.3076865
Row16 0.1872480 0.1789157 0.6857836906 0.307064909 0.1750759 0.64684276 1.94172889 1.38117227 2.34823605 0.9526410 0.57944101 1.22580911 0.28762163 1.57355804 0.1432490 1.1759230 0.1456095 1.42389249 0.3414856 0.7146826
Row17 0.8893637 0.9264972 1.6124867600 1.723169900 0.5480679 0.12286628 1.45984569 0.98583033 0.82707427 0.8067531 0.12221731 0.50250130 0.75665472 0.33531345 1.1137587 0.2519014 0.9319915 0.53638967 0.8773026 0.6521782
Row18 0.1561644 0.2629425 1.2373996117 0.259498766 0.1071849 1.77507332 0.07621611 0.06156111 1.88201232 0.7978547 0.39279774 1.03638543 1.41869078 0.15916752 0.2054685 1.0424470 0.1051387 0.85230558 0.2264141 0.3852934
Row19 0.3628961 0.8505696 1.0149390817 1.993958262 1.3141980 0.63104716 1.08606300 1.86767162 0.48979408 0.2097926 2.22061485 0.03349593 1.84014059 1.34613412 0.3866109 0.3039049 1.5303293 0.57012223 1.3942436 3.1704818
Row20 0.1570578 1.1393037 0.5278985339 1.551567033 1.4260880 0.72794262 2.18981797 1.39766733 0.83331802 0.7509059 1.12564234 0.07345404 0.94817132 0.69186907 1.9391923 0.2373960 1.0899123 0.75465428 0.2020694 1.3347692
